oid;onombre;tecnica
1;San Sebastian;Oleo sobre lienzo
2;La Anunciacion;Oleo y temple sobre tabla
3;Bautismo de Cristo;Oleo sobre tabla
5;El Santo Entierro;Oleo sobre lienzo
7;Crucifixion de San Pedro;Oleo sobre lienzo
8;La Anunciacion;Pintura al Oleo
9;La cabeza de Medusa;Oleo sobre lienzo
11;La Libertad guiando al pueblo;Oleo sobre lienzo
22;Maesta di Ognissanti;Panel
24;Polittico di Badia;Tempera sobre panel
25;La consagracion de Napoleon;Oleo sobre lienzo
28;La Mona Lisa;Pintura al oleo sobre tabla de alamo
35;La transfiguracion;Temple y oleo sobre madera
36;Madonna Sixtina;Oleo sobre lienzo
37;Las Gracias;Oleo sobre tabla
38;La primavera;Temple sobre tabla
39;El nacimiento de Venus;Temple sobre lienzo
